,学校名,考试方式,院系所,专业,研究方向,学习方式,拟招生人数,政治,外语,业务课一,业务课二
0,北京大学,,,,,,,,,,
1,,统考,(004)物理学院,(085400)(专业学位)电子信息,(00)不区分研究方向,全日制,"('专业：3(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(805)普通物理
2,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(01)软件工程,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(839)计算机基础综合
3,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(02)网络安全,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(839)计算机基础综合
4,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(03)智能科技,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(839)计算机基础综合
5,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(04)软件工程实验班,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(839)计算机基础综合
6,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(05)集成电路,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(858)电子信息基础
7,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(06)电子通信,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(858)电子信息基础
8,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(07)集成电路实验班,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(301)数学一,(858)电子信息基础
9,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(08)金融科技,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(201)英语一,(302)数学二,(857)经济学综合
10,,统考,(017)软件与微电子学院,(085400)(专业学位)电子信息,(09)计算机技术,全日制,"('专业：428(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(859)数字艺术综合
11,,,,,,,,(101)思想政治理论,(201)英语一,(302)数学二,(886)语言信息综合
12,中国人民大学,,,,,,,,,,
13,,统考,(159)信息学院（专业学位）,(085400)(专业学位)电子信息,(01)全日在校学习,全日制,"('专业：21(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(408)计算机学科专业基础综合
15,清华大学,,,,,,,,,,
